INFO 2020-06-28 08:44:30,638 autoreload 598 Watching for file changes with StatReloader
INFO 2020-06-28 08:45:54,225 autoreload 598 Watching for file changes with StatReloader
ERROR 2020-06-28 08:45:59,463 exception 77 Invalid HTTP_HOST header: '121.36.97.197:9000'. You may need to add '121.36.97.197' to ALLOWED_HOSTS.
WARNING 2020-06-28 08:45:59,509 log 228 Bad Request: /
WARNING 2020-06-28 08:45:59,510 basehttp 157 "GET / HTTP/1.1" 400 64935
ERROR 2020-06-28 08:46:00,043 exception 77 Invalid HTTP_HOST header: '121.36.97.197:9000'. You may need to add '121.36.97.197' to ALLOWED_HOSTS.
WARNING 2020-06-28 08:46:00,082 log 228 Bad Request: /favicon.ico
WARNING 2020-06-28 08:46:00,083 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 64978
INFO 2020-06-28 08:47:06,241 autoreload 598 Watching for file changes with StatReloader
INFO 2020-06-28 08:47:08,045 basehttp 157 "GET / HTTP/1.1" 200 16351
INFO 2020-06-28 08:47:08,094 basehttp 157 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2020-06-28 08:47:08,212 basehttp 157 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2020-06-28 08:47:10,129 basehttp 157 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2020-06-28 08:47:10,137 basehttp 157 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
WARNING 2020-06-28 08:47:10,510 log 228 Not Found: /favicon.ico
WARNING 2020-06-28 08:47:10,510 basehttp 157 "GET /favicon.ico HTTP/1.1" 404 1974
INFO 2020-06-28 09:23:28,854 autoreload 598 Watching for file changes with StatReloader
INFO 2020-06-28 09:24:30,500 autoreload 598 Watching for file changes with StatReloader
ERROR 2020-06-28 09:24:34,826 log 228 Internal Server Error: /
Traceback (most recent call last):
  File "/root/.virtualenvs/Blog/lib/python3.7/site-packages/django/core/handlers/exception.py", line 34, in inner
    response = get_response(request)
  File "/root/.virtualenvs/Blog/lib/python3.7/site-packages/django/core/handlers/base.py", line 115, in _get_response
    response = self.process_exception_by_middleware(e, request)
